time,acc_x,acc_y,acc_z
14:28:02.542,0.58960,-0.69458,0.35498;
14:28:02.562,0.59155,-0.70459,0.34351;
14:28:02.582,0.58911,-0.71704,0.33911;
14:28:02.602,0.58203,-0.72632,0.35034;
14:28:02.622,0.58447,-0.73071,0.36133;
14:28:02.642,0.58667,-0.72266,0.36108;
14:28:02.662,0.58716,-0.70703,0.34180;
14:28:02.682,0.58496,-0.70093,0.33374;
14:28:02.702,0.58228,-0.70605,0.34448;
14:28:02.722,0.59741,-0.70532,0.34424;
14:28:02.742,0.58765,-0.70947,0.36841;
14:28:02.762,0.59033,-0.70947,0.37183;
14:28:02.782,0.59375,-0.70264,0.35889;
14:28:02.802,0.59570,-0.70532,0.33594;
14:28:02.822,0.58936,-0.71240,0.33936;
14:28:02.842,0.58374,-0.70850,0.36206;
14:28:02.862,0.58667,-0.71045,0.37354;
14:28:02.882,0.59302,-0.70947,0.36475;
14:28:02.902,0.59399,-0.71338,0.34497;
14:28:02.922,0.58911,-0.71948,0.34253;
14:28:02.942,0.58594,-0.71509,0.35205;
14:28:02.962,0.58447,-0.70972,0.35498;
14:28:02.982,0.58374,-0.70679,0.34668;
14:28:03.002,0.58179,-0.71313,0.33496;
14:28:03.022,0.58228,-0.72412,0.33887;
14:28:03.042,0.58643,-0.72705,0.35205;
14:28:03.062,0.59375,-0.71216,0.35596;
14:28:03.082,0.59888,-0.69702,0.35498;
14:28:03.102,0.59424,-0.70020,0.36084;
14:28:03.122,0.59131,-0.70508,0.37158;
14:28:03.142,0.59399,-0.70288,0.37842;
14:28:03.162,0.59180,-0.69873,0.37842;
14:28:03.182,0.58667,-0.70068,0.37720;
14:28:03.202,0.58911,-0.69800,0.36963;
14:28:03.222,0.58545,-0.70215,0.35669;
14:28:03.242,0.58765,-0.70825,0.36304;
14:28:03.262,0.58765,-0.70337,0.37280;
14:28:03.282,0.58740,-0.70020,0.38037;
14:28:03.302,0.59033,-0.69214,0.38770;
14:28:03.322,0.59082,-0.68896,0.39136;
14:28:03.342,0.58472,-0.69141,0.38843;
14:28:03.362,0.57935,-0.69043,0.39673;
14:28:03.382,0.58325,-0.69214,0.39941;
14:28:03.402,0.58765,-0.69897,0.38989;
14:28:03.422,0.59106,-0.70044,0.37817;
14:28:03.442,0.58887,-0.69849,0.37231;
14:28:03.462,0.58374,-0.69897,0.37964;
14:28:03.482,0.58398,-0.69727,0.39014;
14:28:03.502,0.58667,-0.69116,0.38794;
14:28:03.522,0.58691,-0.68994,0.37817;
14:28:03.542,0.58276,-0.69141,0.38086;
14:28:03.562,0.58203,-0.69116,0.39160;
14:28:03.582,0.58765,-0.69214,0.39868;
14:28:03.602,0.59399,-0.69092,0.39233;
14:28:03.622,0.59253,-0.69312,0.37988;
14:28:03.642,0.58765,-0.69556,0.37598;
14:28:03.662,0.58887,-0.69824,0.38135;
14:28:03.682,0.59082,-0.69995,0.38281;
14:28:03.702,0.58252,-0.69678,0.38208;
14:28:03.722,0.58813,-0.70264,0.38379;
14:28:03.742,0.59082,-0.69995,0.37842;
14:28:03.762,0.59277,-0.69702,0.37329;
14:28:03.782,0.59131,-0.69629,0.37183;
14:28:03.802,0.58667,-0.69556,0.37451;
14:28:03.822,0.58423,-0.69971,0.37598;
14:28:03.842,0.58447,-0.69897,0.37646;
14:28:03.862,0.58813,-0.69849,0.37988;
14:28:03.882,0.59058,-0.69751,0.37891;
14:28:03.902,0.59180,-0.70044,0.37891;
14:28:03.922,0.59229,-0.70386,0.37598;
14:28:03.942,0.59106,-0.70044,0.37622;
14:28:03.962,0.59033,-0.69824,0.37866;
14:28:03.982,0.58716,-0.70166,0.37769;
14:28:04.002,0.58691,-0.69678,0.37280;
14:28:04.022,0.58789,-0.69849,0.36865;
14:28:04.042,0.58496,-0.70190,0.37158;
14:28:04.062,0.58398,-0.69995,0.37061;
14:28:04.082,0.58862,-0.70239,0.36890;
14:28:04.102,0.59180,-0.70166,0.36230;
14:28:04.122,0.59229,-0.70752,0.36450;
14:28:04.142,0.59204,-0.71387,0.36255;
14:28:04.162,0.58765,-0.70972,0.35571;
14:28:04.182,0.58862,-0.70508,0.35376;
14:28:04.202,0.59058,-0.70605,0.36401;
14:28:04.222,0.58862,-0.71558,0.36011;
14:28:04.242,0.59082,-0.71606,0.35059;
14:28:04.262,0.59155,-0.71240,0.34790;
14:28:04.282,0.59180,-0.70874,0.35034;
14:28:04.302,0.59033,-0.70483,0.35156;
14:28:04.322,0.58862,-0.70825,0.35596;
14:28:04.342,0.58667,-0.71582,0.35547;
14:28:04.362,0.58838,-0.71191,0.35400;
14:28:04.382,0.58911,-0.71118,0.35181;
14:28:04.402,0.59131,-0.71167,0.35376;
14:28:04.422,0.59082,-0.71167,0.35498;
14:28:04.442,0.58960,-0.71436,0.34888;
14:28:04.462,0.59009,-0.70825,0.35376;
14:28:04.482,0.59204,-0.70605,0.35742;
14:28:04.502,0.59204,-0.71143,0.34619;
14:28:04.522,0.59058,-0.71362,0.34595;
14:28:04.542,0.59155,-0.70996,0.35132;
14:28:04.562,0.59131,-0.71094,0.35205;
14:28:04.582,0.59277,-0.71509,0.35229;
14:28:04.602,0.58936,-0.70923,0.34863;
14:28:04.622,0.58350,-0.70923,0.34448;
14:28:04.642,0.58228,-0.71167,0.34961;
14:28:04.662,0.58911,-0.70752,0.35596;
14:28:04.682,0.59546,-0.71411,0.34692;
14:28:04.702,0.59351,-0.71777,0.34888;
14:28:04.722,0.59009,-0.71899,0.35547;
14:28:04.742,0.58887,-0.71533,0.35571;
14:28:04.762,0.58984,-0.71167,0.34766;
14:28:04.782,0.58887,-0.71191,0.34888;
14:28:04.802,0.58887,-0.71143,0.35400;
14:28:04.822,0.58813,-0.71045,0.35889;
14:28:04.842,0.58960,-0.71045,0.35693;
14:28:04.862,0.59253,-0.70850,0.35083;
14:28:04.882,0.59082,-0.70728,0.34717;
14:28:04.902,0.58911,-0.70703,0.35034;
14:28:04.922,0.59180,-0.70654,0.35132;
14:28:04.942,0.59229,-0.70874,0.34790;
14:28:04.962,0.59375,-0.71558,0.34546;
14:28:04.982,0.59155,-0.71899,0.34863;
14:28:05.002,0.58765,-0.71436,0.35547;
14:28:05.022,0.58813,-0.70435,0.35596;
14:28:05.042,0.59131,-0.70410,0.35718;
14:28:05.062,0.59106,-0.70801,0.36011;
14:28:05.082,0.59033,-0.70654,0.36060;
14:28:05.102,0.58887,-0.70703,0.36328;
14:28:05.122,0.58691,-0.70264,0.36914;
14:28:05.142,0.58936,-0.69702,0.37183;
14:28:05.162,0.59033,-0.69556,0.36572;
14:28:05.182,0.59155,-0.69922,0.36035;
14:28:05.202,0.59351,-0.71069,0.35449;
14:28:05.222,0.59180,-0.71289,0.35620;
14:28:05.242,0.58838,-0.70874,0.36182;
14:28:05.262,0.58887,-0.70215,0.36060;
14:28:05.282,0.59155,-0.70605,0.36255;
14:28:05.302,0.58936,-0.70850,0.35742;
14:28:05.322,0.58813,-0.70801,0.35083;
14:28:05.342,0.58911,-0.70874,0.35864;
14:28:05.362,0.58740,-0.70532,0.36719;
14:28:05.382,0.58887,-0.70117,0.36255;
14:28:05.402,0.59058,-0.70361,0.36255;
14:28:05.422,0.59155,-0.70947,0.35938;
14:28:05.442,0.59229,-0.71069,0.35449;
14:28:05.462,0.59253,-0.70996,0.35791;
14:28:05.482,0.59082,-0.70825,0.36206;
14:28:05.502,0.59033,-0.70117,0.36646;
14:28:05.522,0.59131,-0.69800,0.36548;
14:28:05.542,0.59009,-0.70166,0.36133;
14:28:05.562,0.59155,-0.70825,0.35962;
14:28:05.582,0.59351,-0.70996,0.35815;
14:28:05.602,0.59058,-0.70703,0.36108;
14:28:05.622,0.58984,-0.70386,0.36108;
14:28:05.642,0.58813,-0.70435,0.36230;
14:28:05.662,0.58618,-0.70581,0.36328;
14:28:05.682,0.58618,-0.70386,0.36426;
14:28:05.702,0.58765,-0.70215,0.37109;
14:28:05.722,0.59082,-0.70386,0.36279;
14:28:05.742,0.59106,-0.70850,0.36255;
14:28:05.762,0.59180,-0.70850,0.36694;
14:28:05.782,0.59009,-0.70142,0.36621;
14:28:05.802,0.59009,-0.70386,0.36426;
14:28:05.822,0.58984,-0.70508,0.36377;
14:28:05.842,0.58887,-0.70410,0.36475;
14:28:05.862,0.59106,-0.70361,0.36719;
14:28:05.882,0.59155,-0.70166,0.36987;
14:28:05.902,0.59106,-0.70215,0.37158;
14:28:05.922,0.59106,-0.69946,0.36768;
14:28:05.942,0.59033,-0.70190,0.36182;
14:28:05.962,0.58936,-0.70679,0.36499;
14:28:05.982,0.58838,-0.70752,0.37012;
14:28:06.002,0.59033,-0.70874,0.36621;
14:28:06.022,0.59082,-0.71094,0.36328;
14:28:06.042,0.58813,-0.71143,0.36182;
14:28:06.062,0.58667,-0.70386,0.36157;
14:28:06.082,0.58887,-0.69409,0.36694;
14:28:06.102,0.59326,-0.68945,0.36890;
14:28:06.122,0.59448,-0.69360,0.36499;
14:28:06.142,0.59399,-0.70728,0.36377;
14:28:06.162,0.59277,-0.71509,0.35840;
14:28:06.182,0.59204,-0.71631,0.35815;
14:28:06.202,0.59131,-0.70898,0.36279;
14:28:06.222,0.58960,-0.70020,0.36157;
14:28:06.242,0.58813,-0.70435,0.36597;
14:28:06.262,0.58887,-0.70337,0.36719;
14:28:06.282,0.58911,-0.70386,0.36621;
14:28:06.302,0.59058,-0.70679,0.36133;
14:28:06.322,0.59155,-0.70752,0.35596;
14:28:06.342,0.58984,-0.70776,0.35840;
14:28:06.362,0.59082,-0.71167,0.35864;
14:28:06.382,0.59009,-0.71045,0.36060;
14:28:06.402,0.59033,-0.70386,0.36084;
14:28:06.422,0.59302,-0.70068,0.35571;
14:28:06.442,0.59229,-0.70654,0.35767;
14:28:06.462,0.58960,-0.70679,0.36206;
14:28:06.482,0.59106,-0.70483,0.36133;
14:28:06.502,0.59375,-0.70703,0.35547;
14:28:06.522,0.59229,-0.70728,0.35278;
14:28:06.542,0.59131,-0.70972,0.35693;
14:28:06.562,0.58984,-0.71216,0.35913;
14:28:06.582,0.58862,-0.70898,0.35986;
14:28:06.602,0.58691,-0.69897,0.36230;
14:28:06.622,0.58838,-0.69751,0.36255;
14:28:06.642,0.58936,-0.70313,0.36255;
14:28:06.662,0.59082,-0.70874,0.36157;
14:28:06.682,0.59375,-0.70898,0.36011;
14:28:06.702,0.59277,-0.70557,0.35913;
14:28:06.722,0.59155,-0.70703,0.36060;
14:28:06.742,0.59229,-0.70850,0.35840;
